rname	chrom_length	startpos	endpos	numreads	covbases	samtools_raw_coverage_pct	meandepth	meanbaseq	meanmapq	computed_coverage_fraction_pct
chr16_KI270728v1_random	1872759	1	1872759	113733	1559725	83.2849	9.02062	255	13.2	83.28487541643105
chr17_GL000205v2_random	185591	1	185591	73327	182372	98.2655	58.3159	255	46.8	98.26554089368558
chr17_KI270729v1_random	280839	1	280839	248855	269008	95.7873	92.0234	255	13.7	95.78726601362347
chr17_KI270730v1_random	112551	1	112551	49886	106007	94.1857	39.6134	255	12.6	94.18574690584713
chr22_KI270731v1_random	150754	1	150754	14844	145775	96.6973	14.4817	255	8.92	96.69726839752178
chr22_KI270732v1_random	41543	1	41543	13989	41509	99.9182	50.1714	255	47.7	99.91815709024384
chr22_KI270733v1_random	179772	1	179772	314863	178011	99.0204	257.428	255	10.2	99.02042587277218
chr22_KI270734v1_random	165050	1	165050	21096	163298	98.9385	18.2734	255	13.2	98.9385034837928
chr22_KI270735v1_random	42811	1	42811	45185	42810	99.9977	127.973	255	24.7	99.9976641517367
chr22_KI270736v1_random	181920	1	181920	120374	169659	93.2602	53.2128	255	17.2	93.26022427440634
chr22_KI270737v1_random	103838	1	103838	31907	103297	99.479	34.6346	255	11.3	99.47899612858491
chr22_KI270738v1_random	99375	1	99375	19682	95820	96.4226	28.7138	255	51.0	96.42264150943396
chr22_KI270739v1_random	73985	1	73985	4965	70237	94.9341	9.89291	255	7.72	94.93410826518888
chrY_KI270740v1_random	37240	1	37240	1	47	0.126208	0.00126208	255	0.0	0.12620837808807733
chrUn_KI270302v1	2274	1	2274	145	2087	91.7766	9.58004	255	17.0	91.77660510114336
chrUn_KI270304v1	2165	1	2165	99	1641	75.7968	5.79215	255	6.05	75.79676674364896
chrUn_KI270303v1	1942	1	1942	150	1565	80.587	10.9773	255	14.5	80.5870236869207
chrUn_KI270305v1	1472	1	1472	264	1369	93.0027	26.9253	255	21.0	93.00271739130434
chrUn_KI270322v1	21476	1	21476	1445	4828	22.4809	10.084	255	21.7	22.480908921586888
chrUn_KI270320v1	4416	1	4416	2400	4344	98.3696	81.6232	255	23.8	98.36956521739131
chrUn_KI270310v1	1201	1	1201	690	1123	93.5054	84.7977	255	12.9	93.50541215653621
chrUn_KI270316v1	1444	1	1444	11	777	53.8089	1.08449	255	12.9	53.80886426592798
chrUn_KI270315v1	2276	1	2276	55	760	33.3919	3.20475	255	3.15	33.391915641476274
chrUn_KI270312v1	998	1	998	41	750	75.1503	6.13527	255	22.4	75.1503006012024
chrUn_KI270311v1	12399	1	12399	600	2116	17.0659	6.91741	255	14.3	17.06589241067828
chrUn_KI270317v1	37690	1	37690	93	1523	4.04086	0.341496	255	16.8	4.0408596444680285
chrUn_KI270412v1	1179	1	1179	130	1049	88.9737	16.4741	255	8.09	88.97370653095844
chrUn_KI270411v1	2646	1	2646	257	2242	84.7317	14.4138	255	7.72	84.73167044595617
chrUn_KI270414v1	2489	1	2489	140	1750	70.3094	8.33949	255	5.16	70.30936118923262
chrUn_KI270419v1	1029	1	1029	93	812	78.9116	13.5763	255	36.3	78.91156462585033
chrUn_KI270418v1	2145	1	2145	221	2074	96.69	15.5249	255	32.0	96.68997668997669
chrUn_KI270420v1	2321	1	2321	461	2321	100.0	29.62	255	34.3	100.0
chrUn_KI270424v1	2140	1	2140	78	1891	88.3645	5.37804	255	10.9	88.36448598130842
chrUn_KI270417v1	2043	1	2043	255	2043	100.0	17.6833	255	50.7	100.0
chrUn_KI270422v1	1445	1	1445	368	1428	98.8235	38.1758	255	28.2	98.82352941176471
chrUn_KI270423v1	981	1	981	153	955	97.3496	23.3874	255	31.1	97.34964322120285
chrUn_KI270425v1	1884	1	1884	58	1221	64.8089	4.61359	255	11.5	64.80891719745223
chrUn_KI270429v1	1361	1	1361	111	1330	97.7223	12.0147	255	53.4	97.72226304188098
chrUn_KI270442v1	392061	1	392061	185520	369271	94.1871	53.8561	255	31.5	94.18712904369472
chrUn_KI270466v1	1233	1	1233	22185	1233	100.0	2413.12	255	40.1	100.0
chrUn_KI270465v1	1774	1	1774	1351	1774	100.0	113.715	255	41.9	100.0
chrUn_KI270467v1	3920	1	3920	77535	3909	99.7194	2563.2	255	41.8	99.71938775510203
chrUn_KI270435v1	92983	1	92983	26610	92867	99.8752	37.5133	255	37.1	99.87524601271201
chrUn_KI270438v1	112505	1	112505	338536	83915	74.5878	425.479	255	31.0	74.5877960979512
chrUn_KI270468v1	4055	1	4055	810	4055	100.0	29.7191	255	54.1	100.0
chrUn_KI270510v1	2415	1	2415	1190	2415	100.0	71.6791	255	42.9	100.0
chrUn_KI270509v1	2318	1	2318	1253	2318	100.0	80.632	255	53.0	100.0
chrUn_KI270518v1	2186	1	2186	1267	2186	100.0	85.9108	255	43.9	100.0
chrUn_KI270508v1	1951	1	1951	1229	1949	99.8975	94.2922	255	50.8	99.89748846745259
chrUn_KI270516v1	1300	1	1300	781	1300	100.0	88.49	255	51.4	100.0
chrUn_KI270512v1	22689	1	22689	5467	22212	97.8977	29.8377	255	28.8	97.89765965886554
chrUn_KI270519v1	138126	1	138126	36976	136446	98.7837	37.7029	255	43.1	98.78371921289258
chrUn_KI270522v1	5674	1	5674	526	5567	98.1142	13.169	255	41.3	98.11420514628128
chrUn_KI270511v1	8127	1	8127	1958	8123	99.9508	35.2012	255	45.5	99.95078134613019
chrUn_KI270515v1	6361	1	6361	3466	6312	99.2297	80.3874	255	48.5	99.22968086778809
chrUn_KI270507v1	5353	1	5353	2415	5348	99.9066	66.912	255	53.8	99.9065944330282
chrUn_KI270517v1	3253	1	3253	1908	3253	100.0	86.8549	255	45.4	100.0
chrUn_KI270529v1	1899	1	1899	131	1875	98.7362	10.2422	255	21.4	98.73617693522907
chrUn_KI270528v1	2983	1	2983	143	2965	99.3966	6.91586	255	8.43	99.39658062353335
chrUn_KI270530v1	2168	1	2168	43	1697	78.2749	2.71633	255	5.88	78.2749077490775
chrUn_KI270539v1	993	1	993	37	874	88.0161	4.55791	255	31.2	88.01611278952669
chrUn_KI270538v1	91309	1	91309	21926	63159	69.1706	35.6444	255	38.4	69.17061844944091
chrUn_KI270544v1	1202	1	1202	420	1164	96.8386	52.5208	255	15.5	96.83860232945092
chrUn_KI270548v1	1599	1	1599	60	1417	88.6179	5.60788	255	0.0	88.6178861788618
chrUn_KI270583v1	1400	1	1400	568	1397	99.7857	60.6579	255	55.8	99.78571428571429
chrUn_KI270587v1	2969	1	2969	303	2332	78.545	15.1398	255	21.4	78.54496463455709
chrUn_KI270580v1	1553	1	1553	672	1547	99.6137	65.0547	255	52.3	99.61365099806827
chrUn_KI270581v1	7046	1	7046	1203	7009	99.4749	25.5605	255	5.83	99.47487936417826
chrUn_KI270579v1	31033	1	31033	2984	30128	97.0837	14.2089	255	4.39	97.08374955692327
chrUn_KI270589v1	44474	1	44474	14244	34879	78.4256	38.8083	255	17.8	78.42559697800962
chrUn_KI270590v1	4685	1	4685	3628	4685	100.0	113.265	255	47.7	100.0
chrUn_KI270584v1	4513	1	4513	2071	4513	100.0	67.9236	255	54.3	100.0
chrUn_KI270582v1	6504	1	6504	1114	6273	96.4483	25.6178	255	20.4	96.44833948339483
chrUn_KI270588v1	6158	1	6158	2145	6031	97.9376	51.552	255	45.0	97.93764209158817
chrUn_KI270593v1	3041	1	3041	891	3038	99.9013	43.7695	255	48.2	99.90134824071029
chrUn_KI270591v1	5796	1	5796	4136	5796	100.0	90.0195	255	37.0	100.0
chrUn_KI270330v1	1652	1	1652	3350	1647	99.6973	300.676	255	33.8	99.69733656174334
chrUn_KI270329v1	1040	1	1040	482	1039	99.9038	69.7279	255	10.6	99.90384615384616
chrUn_KI270334v1	1368	1	1368	58	1330	97.2222	6.25658	255	0.586	97.22222222222221
chrUn_KI270333v1	2699	1	2699	17338	2679	99.259	807.249	255	17.3	99.25898480918859
chrUn_KI270335v1	1048	1	1048	61	1020	97.3282	8.70134	255	0.0	97.32824427480917
chrUn_KI270338v1	1428	1	1428	74	1388	97.1989	7.79132	255	0.0	97.19887955182072
chrUn_KI270340v1	1428	1	1428	94	1426	99.8599	9.90196	255	1.21	99.85994397759103
chrUn_KI270336v1	1026	1	1026	4767	1026	100.0	508.447	255	12.8	100.0
chrUn_KI270337v1	1121	1	1121	19164	1121	100.0	2312.94	255	22.6	100.0
chrUn_KI270363v1	1803	1	1803	105	1790	99.279	8.71825	255	42.0	99.2789794786467
chrUn_KI270364v1	2855	1	2855	217	2841	99.5096	11.0767	255	8.88	99.50963222416812
chrUn_KI270362v1	3530	1	3530	311	3417	96.7989	13.104	255	31.2	96.79886685552408
chrUn_KI270366v1	8320	1	8320	787	8176	98.2692	13.8139	255	12.6	98.26923076923076
chrUn_KI270378v1	1048	1	1048	19	830	79.1985	2.6374	255	36.7	79.19847328244275
chrUn_KI270379v1	1045	1	1045	25	897	85.8373	3.59713	255	0.0	85.83732057416267
chrUn_KI270389v1	1298	1	1298	99	1293	99.6148	11.379	255	28.5	99.61479198767334
chrUn_KI270390v1	2387	1	2387	122	2367	99.1621	7.67491	255	18.5	99.16212819438626
chrUn_KI270387v1	1537	1	1537	140	1535	99.8699	13.6929	255	3.44	99.86987638256343
chrUn_KI270395v1	1143	1	1143	528	1136	99.3876	69.1566	255	7.27	99.38757655293088
chrUn_KI270396v1	1880	1	1880	346	1846	98.1915	27.6835	255	10.2	98.19148936170212
chrUn_KI270388v1	1216	1	1216	5	551	45.3125	0.609375	255	9.6	45.3125
chrUn_KI270394v1	970	1	970	39	845	87.1134	5.85876	255	5.44	87.11340206185567
chrUn_KI270386v1	1788	1	1788	13	851	47.5951	1.05649	255	0.0	47.59507829977629
chrUn_KI270391v1	1484	1	1484	97	1435	96.6981	9.42183	255	28.2	96.69811320754717
chrUn_KI270383v1	1750	1	1750	77	1612	92.1143	6.57886	255	17.0	92.11428571428571
chrUn_KI270393v1	1308	1	1308	25	735	56.1927	2.81804	255	2.88	56.19266055045872
chrUn_KI270384v1	1658	1	1658	189	1571	94.7527	16.9928	255	28.1	94.75271411338963
chrUn_KI270392v1	971	1	971	49	971	100.0	7.29454	255	36.4	100.0
chrUn_KI270381v1	1930	1	1930	66	1202	62.2798	5.05492	255	2.97	62.27979274611399
chrUn_KI270385v1	990	1	990	57	792	80.0	8.49394	255	11.1	80.0
chrUn_KI270382v1	4215	1	4215	422	4088	96.987	14.9141	255	21.1	96.98695136417557
chrUn_KI270376v1	1136	1	1136	68	995	87.588	8.85299	255	8.68	87.58802816901408
chrUn_KI270374v1	2656	1	2656	242	2546	95.8584	13.5015	255	3.9	95.85843373493977
chrUn_KI270372v1	1650	1	1650	126	1514	91.7576	10.1303	255	1.13	91.75757575757576
chrUn_KI270373v1	1451	1	1451	69	1260	86.8367	7.06065	255	0.0	86.83666436940042
chrUn_KI270375v1	2378	1	2378	214	2266	95.2902	13.4643	255	1.74	95.29015979814972
chrUn_KI270371v1	2805	1	2805	163	2623	93.5116	8.59323	255	4.04	93.51158645276291
chrUn_KI270448v1	7992	1	7992	2384	7978	99.8248	44.4296	255	52.7	99.82482482482482
chrUn_KI270521v1	7642	1	7642	948	7596	99.3981	18.3233	255	44.7	99.39806333420572
chrUn_GL000195v1	182896	1	182896	47143	181139	99.0393	38.6588	255	30.8	99.0393447642376
chrUn_GL000219v1	179198	1	179198	63563	178158	99.4196	52.0165	255	49.3	99.41963637987031
chrUn_GL000220v1	161802	1	161802	397556	155735	96.2504	363.62	255	5.28	96.25035537261591
chrUn_GL000224v1	179693	1	179693	154200	179683	99.9944	127.822	255	23.8	99.99443495294753
chrUn_KI270741v1	157432	1	157432	23707	154396	98.0715	22.318	255	3.58	98.0715483510341
chrUn_GL000226v1	15008	1	15008	80384	15008	100.0	807.096	255	1.93	100.0
chrUn_GL000213v1	164239	1	164239	4758	136566	83.1508	4.28776	255	1.66	83.1507741766572
chrUn_KI270743v1	210658	1	210658	56456	210646	99.9943	39.9429	255	31.1	99.99430356312126
chrUn_KI270744v1	168472	1	168472	171491	168472	100.0	149.957	255	18.2	100.0
chrUn_KI270745v1	41891	1	41891	2972	37144	88.6682	10.5337	255	3.26	88.66821035544628
chrUn_KI270746v1	66486	1	66486	20814	66482	99.994	46.8789	255	48.4	99.99398369581566
chrUn_KI270747v1	198735	1	198735	14375	183980	92.5755	10.5203	255	8.83	92.57554029234912
chrUn_KI270748v1	93321	1	93321	5569	92890	99.5382	8.67227	255	6.92	99.53815325596597
chrUn_KI270749v1	158759	1	158759	27206	157869	99.4394	25.6107	255	37.7	99.43940186068191
chrUn_KI270750v1	148850	1	148850	30365	148813	99.9751	30.5554	255	36.4	99.97514276116897
chrUn_KI270751v1	150742	1	150742	72773	150494	99.8355	70.5782	255	25.8	99.83548048984358
chrUn_KI270752v1	27745	1	27745	7	225	0.810957	0.0104163	255	9.86	0.8109569291764281
chrUn_KI270753v1	62944	1	62944	10262	62243	98.8863	24.3318	255	18.2	98.88631164209455
chrUn_KI270754v1	40191	1	40191	11948	39231	97.6114	44.2338	255	18.5	97.61140553855341
chrUn_KI270755v1	36723	1	36723	3691	36701	99.9401	15.0407	255	22.5	99.94009204041065
chrUn_KI270756v1	79590	1	79590	19533	79267	99.5942	21.9665	255	12.8	99.5941701218746
chrUn_KI270757v1	71251	1	71251	30519	61626	86.4914	57.6714	255	31.8	86.49141766431349
chrUn_GL000214v1	137718	1	137718	134566	137256	99.6645	145.108	255	12.9	99.6645318694724
chrUn_KI270742v1	186739	1	186739	79548	186735	99.9979	63.6861	255	24.0	99.99785797289265
chrUn_GL000216v2	176608	1	176608	271452	176362	99.8607	173.939	255	16.8	99.86070846167785
chrUn_GL000218v1	161147	1	161147	80344	161147	100.0	74.732	255	40.5	100.0
chrEBV	171823	1	171823	62	4111	2.39258	0.0339885	255	36.0	2.3925784091768856
